date,ARDA,BRUC,CAMP,CORR,GOUN,KOND,MEAR,MTMA,NOON,REDB,BOKA,BROW,CASU,COOM,COYR,DULB,DUMB,FLAG,GUND,KWOB,LITT,MART,MIRI,MURA,NONA,PARK,QUEE,TAAN,TAAR,TOOL,WAGI,WALB,WARG,WEST,WHIN,WHIW,YEAL
25/05/1990,33,32.9137931,46.69546879,40.136,NA,NA,15.60491803,126.6109325,38.45454545,106.8138298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/06/1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.45503212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/07/1990,23.36241611,20.31034483,35.63030376,35.992,16.08144796,15.85980429,12.57418033,33.07240547,36.28671329,30.37967914,18.89514563,15.21593153,19.24115756,14.03961456,12.94372538,29.80628272,9.953537416,21.79984146,11.5568277,NA,18.96974063,14.6149789,20.19637462,33.18607764,13.92857143,9.981552652,11.08047791,23.58151724,37.78939261,24.09421387,24.15828678,28.42521632,14.00399202,13.86445013,22.54625551,24.51569507,10.47363465
13/08/1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.25465347,16.70197937,NA,NA,NA,NA,NA,NA,12.4591002,NA,NA,NA,NA,28.74487896,NA,NA,15.81585678,NA,NA,NA
14/09/1990,28.98657718,22.27586207,41.34626039,38.832,17.46536145,20.30717194,12.75010225,93.24437299,33.99300699,41.80851064,20.8038835,15.14812377,22.26366559,13.23233405,13.02846442,30.20942408,9.723501535,22.74613861,11.45274603,24.32878412,18.12661871,14.76656151,18.14803625,39.67871486,23.38823529,9.741185488,10.69074949,25.49406897,60.76523652,21.63798849,30.46182495,26.44128554,13.37375746,13.28132992,33.2424409,25.26890756,10.83537159
3/12/1990,40.83892617,29.82758621,73.6653017,77.136,41.7560241,41.97031191,16.29038855,133.7114148,41.94405594,124.6595745,55.71262136,19.3357472,27.21543408,17.99036403,18.92303371,48.32460733,14.10232279,51.7809901,15.60328966,NA,24.8647482,NA,23.21148036,92.23159304,140.6470588,NA,20.53027234,132.144,118.6127613,20.87215995,121.0148976,34.40667491,17.77733598,NA,124.7174272,38.00672269,13.39840075
19/12/1990,41.60402685,27.77586207,75.94399615,79.296,46.23945783,43.22334962,16.81186094,138.7813505,44.81818182,119.9787234,83.84660194,20.57472021,29.59807074,17.1391863,15.46573034,68.10471204,12.16127687,58.75089109,17.179816,39.48263027,31.38417266,22.1955836,26.06646526,108.6559572,147.2,11.51762902,16.54895341,147.4769655,117.9247525,22.55649803,128.575419,37.87268232,17.31809145,17.96930946,134.9367784,69.22577031,13.66839135
4/01/1991,47.34899329,33.77586207,85.13886547,83.328,55.05271084,53.56144307,19.70224949,141.8850482,48.26573427,144.6170213,NA,23.54904542,NA,NA,NA,118.4764398,NA,NA,NA,NA,NA,NA,NA,NA,153.0823529,NA,NA,NA,NA,NA,NA,NA,NA,23.48849105,NA,119.7047619,15.25164628
20/01/1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.70097087,NA,41.66881029,41.87687366,20.1928839,NA,16.14302163,85.50059406,25.20267633,NA,71.46330935,37.95268139,34.28398792,127.1941098,NA,16.04317833,24.82759397,147.1004138,115.2574257,NA,101.3687151,48.98269468,21.944334,28.17647059,105.051127,NA,NA
5/02/1991,74.93959732,42.37931034,87.76683127,NA,61.63328313,NA,NA,98.24356913,57.71328671,NA,NA,NA,NA,54.56102784,NA,NA,17.9294153,NA,38.19375523,NA,97.21870504,56.41745531,60.43202417,143.8500669,NA,NA,NA,NA,NA,NA,NA,NA,25.88071571,41.13299233,NA,NA,NA
9/03/1991,133.5436242,46.44827586,115.5399253,90.232,76.45406627,88.92521608,37.39550102,119.9236334,86.71328671,150.9042553,114.8271845,49.42396313,NA,NA,NA,127.1570681,NA,87.18455446,42.80345693,NA,112.3323741,91.8254469,100.1661631,128.7710843,163.1058824,22.70694941,38.14967364,157.8391724,118.6488449,34.01635868,130.9273743,75.43510507,36.05765408,85.70076726,176.5299615,153.9781513,22.13264346
25/03/1991,128.5234899,42.98275862,119.8077803,89.048,81.24698795,88.00551171,40.26421268,104.011254,95.29370629,133.9414894,123.584466,53.70967742,102.5273312,58.64668094,NA,127.5235602,19.93936057,94.31485149,56.62391971,NA,120.1510791,NA,NA,NA,172.7882353,NA,NA,161.8929655,NA,35.18539836,NA,92.96786156,NA,NA,166.6052776,153.2022409,22.45108184
